episode_id,batch,task_id,category,family,condition,condition_name,model,repeat,Q,Z,W,F,ZWF,all_reads,first_mutation,reads_before_first_mutation,total_tool_calls,success,error_type
confirmatory|bfcl|multi_turn_base_72|qwen25_72b|C3|r3,primary,multi_turn_base_72,base,compression,C3,static,qwen25_72b,3,1,0,1,1,0,8,1,1,13,0,multi_turn:execution_response_mismatch
confirmatory|bfcl|multi_turn_base_72|qwen25_72b|C4|r3,primary,multi_turn_base_72,base,compression,C4,apca,qwen25_72b,3,1,0,1,1,0,8,1,1,13,0,multi_turn:execution_response_mismatch
confirmatory|bfcl|multi_turn_base_72|qwen25_72b|C1|r4,primary,multi_turn_base_72,base,compression,C1,neutral,qwen25_72b,4,1,0,1,1,0,8,1,1,13,0,multi_turn:execution_response_mismatch
confirmatory|bfcl|multi_turn_base_72|qwen25_72b|C3|r4,primary,multi_turn_base_72,base,compression,C3,static,qwen25_72b,4,1,0,1,1,0,8,1,1,13,0,multi_turn:execution_response_mismatch
confirmatory|bfcl|multi_turn_base_72|qwen25_72b|C4|r4,primary,multi_turn_base_72,base,compression,C4,apca,qwen25_72b,4,1,0,1,1,0,8,1,1,13,0,multi_turn:execution_response_mismatch
confirmatory|bfcl|multi_turn_base_72|qwen25_72b|C1|r5,primary,multi_turn_base_72,base,compression,C1,neutral,qwen25_72b,5,1,0,1,1,0,8,1,1,13,0,multi_turn:execution_response_mismatch
confirmatory|bfcl|multi_turn_base_72|qwen25_72b|C3|r5,primary,multi_turn_base_72,base,compression,C3,static,qwen25_72b,5,1,0,1,1,0,8,1,1,13,0,multi_turn:execution_response_mismatch
confirmatory|bfcl|multi_turn_base_72|qwen25_72b|C4|r5,primary,multi_turn_base_72,base,compression,C4,apca,qwen25_72b,5,1,0,1,1,0,8,1,1,13,0,multi_turn:execution_response_mismatch
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C1|r0,primary,multi_turn_miss_param_116,miss_param,compression,C1,neutral,qwen25_72b,0,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C3|r0,primary,multi_turn_miss_param_116,miss_param,compression,C3,static,qwen25_72b,0,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C4|r0,primary,multi_turn_miss_param_116,miss_param,compression,C4,apca,qwen25_72b,0,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C1|r1,primary,multi_turn_miss_param_116,miss_param,compression,C1,neutral,qwen25_72b,1,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C3|r1,primary,multi_turn_miss_param_116,miss_param,compression,C3,static,qwen25_72b,1,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C4|r1,primary,multi_turn_miss_param_116,miss_param,compression,C4,apca,qwen25_72b,1,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C1|r2,primary,multi_turn_miss_param_116,miss_param,compression,C1,neutral,qwen25_72b,2,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C3|r2,primary,multi_turn_miss_param_116,miss_param,compression,C3,static,qwen25_72b,2,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C4|r2,primary,multi_turn_miss_param_116,miss_param,compression,C4,apca,qwen25_72b,2,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C1|r3,primary,multi_turn_miss_param_116,miss_param,compression,C1,neutral,qwen25_72b,3,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C3|r3,primary,multi_turn_miss_param_116,miss_param,compression,C3,static,qwen25_72b,3,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C4|r3,primary,multi_turn_miss_param_116,miss_param,compression,C4,apca,qwen25_72b,3,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C1|r4,primary,multi_turn_miss_param_116,miss_param,compression,C1,neutral,qwen25_72b,4,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C3|r4,primary,multi_turn_miss_param_116,miss_param,compression,C3,static,qwen25_72b,4,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C4|r4,primary,multi_turn_miss_param_116,miss_param,compression,C4,apca,qwen25_72b,4,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C1|r5,primary,multi_turn_miss_param_116,miss_param,compression,C1,neutral,qwen25_72b,5,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C3|r5,primary,multi_turn_miss_param_116,miss_param,compression,C3,static,qwen25_72b,5,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_miss_param_116|qwen25_72b|C4|r5,primary,multi_turn_miss_param_116,miss_param,compression,C4,apca,qwen25_72b,5,1,0,1,0,0,3,1,1,6,1,
confirmatory|bfcl|multi_turn_base_73|qwen25_72b|C1|r0,primary,multi_turn_base_73,base,compression,C1,neutral,qwen25_72b,0,0,1,1,0,0,5,1,1,11,1,
confirmatory|bfcl|multi_turn_base_73|qwen25_72b|C3|r0,primary,multi_turn_base_73,base,compression,C3,static,qwen25_72b,0,0,1,1,0,0,6,1,1,12,1,
confirmatory|bfcl|multi_turn_base_73|qwen25_72b|C4|r0,primary,multi_turn_base_73,base,compression,C4,apca,qwen25_72b,0,0,1,1,0,0,5,1,1,11,1,
confirmatory|bfcl|multi_turn_base_73|qwen25_72b|C1|r1,primary,multi_turn_base_73,base,compression,C1,neutral,qwen25_72b,1,0,1,1,0,0,5,1,1,11,1,
